Datum,Räntesats %,Medelvärde hittills i år
10/15/2021,0.27,0.16
10/8/2021,0.26,0.15
10/1/2021,0.24,0.15
9/24/2021,0.18,0.15
9/17/2021,0.14,0.15
9/10/2021,0.12,0.15
9/3/2021,0.08,0.15
8/27/2021,0.02,0.15
8/20/2021,0.03,0.16
8/13/2021,0.02,0.16
8/6/2021,0.00,0.16
7/30/2021,0.02,0.17
7/23/2021,0.06,0.17
7/16/2021,0.10,0.18
7/9/2021,0.16,0.18
7/2/2021,0.24,0.18
6/25/2021,0.24,0.18
6/18/2021,0.21,0.18
6/11/2021,0.27,0.18
6/4/2021,0.31,0.17
5/28/2021,0.28,0.17
5/21/2021,0.33,0.16
5/14/2021,0.29,0.15
5/7/2021,0.27,0.14
4/30/2021,0.25,0.14
4/23/2021,0.25,0.13
4/16/2021,0.23,0.12
4/9/2021,0.23,0.12
4/2/2021,0.26,0.11
3/26/2021,0.25,0.10
3/19/2021,0.26,0.08
3/12/2021,0.30,0.07
3/5/2021,0.26,0.05
2/26/2021,0.21,0.02
2/19/2021,0.13,0.00
2/12/2021,0.05,-0.02
2/5/2021,0.00,-0.03
1/29/2021,-0.03,-0.04
1/22/2021,-0.02,-0.04
1/15/2021,-0.02,-0.05
1/8/2021,-0.07,-0.07
1/1/2021,-0.06,-0.06
2020/12/25,-0.09,-0.07
2020/12/18,-0.13,-0.07
2020/12/11,-0.08,-0.07
2020/12/04,-0.06,-0.07
2020/11/27,-0.10,-0.07
2020/11/20,-0.07,-0.07
2020/11/13,-0.06,-0.07
2020/11/06,-0.12,-0.07
2020/10/30,-0.10,-0.07
2020/10/23,-0.13,-0.06
2020/10/16,-0.11,-0.06
10/9/2020,-0.07,-0.06
10/2/2020,-0.09,-0.06
9/25/2020,-0.08,-0.06
9/18/2020,-0.06,-0.06
9/11/2020,-0.04,-0.06
9/4/2020,0.02,-0.06
8/28/2020,-0.02,-0.06
8/21/2020,-0.01,-0.06
8/14/2020,-0.04,-0.07
8/7/2020,-0.06,-0.07
7/31/2020,-0.04,-0.07
7/24/2020,-0.06,-0.07
7/17/2020,-0.06,-0.07
7/10/2020,-0.05,-0.07
7/3/2020,-0.05,-0.07
6/26/2020,-0.01,-0.07
6/19/2020,0.03,-0.07
6/12/2020,0.09,-0.08
6/5/2020,0.02,-0.08
5/29/2020,-0.01,-0.09
5/22/2020,-0.04,-0.09
5/15/2020,-0.11,-0.10
5/8/2020,-0.14,-0.09
5/1/2020,-0.12,-0.09
4/24/2020,-0.07,-0.09
4/17/2020,-0.08,-0.09
4/10/2020,-0.12,-0.09
4/3/2020,-0.16,-0.09
3/27/2020,-0.05,-0.08
3/20/2020,-0.16,-0.09
3/13/2020,-0.42,-0.08
3/6/2020,-0.33,-0.05
2/28/2020,-0.21,-0.02
2/21/2020,-0.08,0.01
2/14/2020,-0.02,0.02
2/7/2020,-0.05,0.03
1/31/2020,-0.04,0.04
1/24/2020,0.06,0.07
1/17/2020,0.09,0.07
1/10/2020,0.05,0.06
1/3/2020,0.06,0.06
12/27/2019,0.02,0.03
12/20/2019,0.00,0.03
12/13/2019,-0.03,0.03
12/6/2019,-0.03,0.03
11/29/2019,-0.09,0.03
11/22/2019,-0.09,0.03
11/15/2019,-0.03,0.04
11/8/2019,-0.10,0.04
11/1/2019,-0.12,0.04
10/25/2019,-0.12,0.05
10/18/2019,-0.25,0.05
10/11/2019,-0.39,0.06
10/4/2019,-0.35,0.07
9/27/2019,-0.32,0.08
9/20/2019,-0.23,0.09
9/13/2019,-0.28,0.10
9/6/2019,-0.40,0.11
8/30/2019,-0.39,0.12
8/23/2019,-0.40,0.14
8/16/2019,-0.35,0.15
8/9/2019,-0.30,0.17
8/2/2019,-0.19,0.19
7/26/2019,-0.10,0.20
7/19/2019,-0.01,0.21
7/12/2019,-0.06,0.22
7/5/2019,-0.08,0.23
6/28/2019,-0.09,0.24
6/21/2019,-0.08,0.25
6/14/2019,-0.06,0.27
6/7/2019,0.00,0.28
5/31/2019,0.05,0.29
5/24/2019,0.07,0.30
5/17/2019,0.06,0.32
5/10/2019,0.15,0.33
5/3/2019,0.15,0.34
4/26/2019,0.26,0.35
4/19/2019,0.27,0.36
4/12/2019,0.25,0.36
4/5/2019,0.22,0.37
3/29/2019,0.22,0.38
3/22/2019,0.33,0.39
3/15/2019,0.32,0.40
3/8/2019,0.41,0.41
3/1/2019,0.34,0.41
2/22/2019,0.35,0.42
2/15/2019,0.36,0.43
2/8/2019,0.41,0.44
2/1/2019,0.43,0.44
1/25/2019,0.47,0.45
1/18/2019,0.43,0.44
1/11/2019,0.44,0.44
1/4/2019,0.44,0.44
2018/11/23,0.55,0.47
2018/11/16,0.46,0.47
2018/11/09,0.49,0.47
2018/11/02,0.45,0.47
2018/10/26,0.48,0.47
2018/10/19,0.54,0.47
2018/10/12,0.54,0.47
2018/10/05,0.49,0.47
2018/09/28,0.48,0.47
2018/09/21,0.43,0.47
2018/09/14,0.39,0.47
2018/09/07,0.35,0.47
2018/08/31,0.32,0.48
2018/08/24,0.30,0.48
2018/08/17,0.30,0.49
2018/08/10,0.36,0.49
2018/08/03,0.40,0.50
2018/07/27,0.31,0.50
2018/07/20,0.27,0.51
2018/07/13,0.31,0.51
2018/07/06,0.31,0.52
2018/06/29,0.29,0.53
2018/06/22,0.30,0.54
2018/06/15,0.42,0.55
2018/06/08,0.37,0.56
2018/06/01,0.31,0.56
2018/05/25,0.49,0.58
2018/05/18,0.53,0.58
2018/05/11,0.48,0.58
2018/05/04,0.49,0.59
2018/04/27,0.55,0.59
2018/04/20,0.47,0.60
2018/04/13,0.48,0.61
2018/04/06,0.49,0.62
2018/03/30,0.52,0.62
2018/03/23,0.55,0.63
2018/03/16,0.58,0.64
2018/03/09,0.59,0.65
2018/03/02,0.61,0.65
2018/02/23,0.70,0.66
2018/02/16,0.75,0.65
2018/02/09,0.72,0.64
2018/02/02,0.71,0.62
2018/01/26,0.65,0.60
2018/01/19,0.63,0.58
2018/01/12,0.55,0.56
2018/01/05,0.56,0.56
12/29/2017,0.52,0.51
12/22/2017,0.51,0.51
12/15/2017,0.45,0.51
12/8/2017,0.45,0.52
12/1/2017,0.47,0.52
11/24/2017,0.49,0.52
11/17/2017,0.55,0.52
11/10/2017,0.53,0.52
11/3/2017,0.56,0.52
10/27/2017,0.64,0.52
10/20/2017,0.62,0.51
